subject	age	male	educationYears	transferP1	transferP2	ingroupPairing	perepkaP2	ngenikaP2
1602	25	1	8	1	3	1	1	0
1602	25	1	8	2	4	1	1	0
1602	25	1	8	3	4	1	1	0
1602	25	1	8	4	5	1	1	0
1602	25	1	8	5	5	1	1	0
1603	39	0	6	0	0	1	1	0
1603	39	0	6	1	5	1	1	0
1603	39	0	6	2	5	1	1	0
1603	39	0	6	3	5	1	1	0
1603	39	0	6	4	5	1	1	0
1603	39	0	6	5	5	1	1	0
1604	20	1	10	0	0	0	0	1
1604	20	1	10	1	1	0	0	1
1604	20	1	10	2	2	0	0	1
1604	20	1	10	3	3	0	0	1
1604	20	1	10	4	4	0	0	1
1604	20	1	10	5	5	0	0	1
1605	22	1	6	0	0	0	0	1
1605	22	1	6	1	1	0	0	1
1605	22	1	6	2	2	0	0	1
1605	22	1	6	3	3	0	0	1
1605	22	1	6	4	4	0	0	1
1605	22	1	6	5	5	0	0	1
1606	28	1	6	0	0	0	0	1
1606	28	1	6	1	1	0	0	1
1606	28	1	6	2	2	0	0	1
1606	28	1	6	3	3	0	0	1
1606	28	1	6	4	4	0	0	1
1606	28	1	6	5	5	0	0	1
1607	27	1	0	0	0	0	1	0
1607	27	1	0	1	0	0	1	0
1607	27	1	0	2	1	0	1	0
1607	27	1	0	3	1	0	1	0
1607	27	1	0	4	1	0	1	0
1607	27	1	0	5	0	0	1	0
1608	26	1	2	0	0	0	1	0
1608	26	1	2	1	0	0	1	0
1608	26	1	2	2	0	0	1	0
1608	26	1	2	3	0	0	1	0
1608	26	1	2	4	0	0	1	0
1608	26	1	2	5	0	0	1	0
1609	43	1	6	0	0	0	1	0
1609	43	1	6	1	0	0	1	0
1609	43	1	6	2	0	0	1	0
1609	43	1	6	3	3	0	1	0
1609	43	1	6	4	4	0	1	0
1609	43	1	6	5	4	0	1	0
1610	24	0	6	0	0	1	0	1
1610	24	0	6	1	2	1	0	1
1610	24	0	6	2	2	1	0	1
1610	24	0	6	3	5	1	0	1
1610	24	0	6	4	5	1	0	1
1610	24	0	6	5	5	1	0	1
1611	18	1	9	0	0	1	0	1
1611	18	1	9	1	1	1	0	1
1611	18	1	9	2	2	1	0	1
1611	18	1	9	3	3	1	0	1
1611	18	1	9	4	4	1	0	1
1611	18	1	9	5	5	1	0	1
1612	58	1	8	0	4	1	0	1
1612	58	1	8	1	3	1	0	1
1612	58	1	8	2	5	1	0	1
1612	58	1	8	3	5	1	0	1
1612	58	1	8	4	5	1	0	1
1612	58	1	8	5	5	1	0	1
1701	18	1	11	0	5	1	1	0
1701	18	1	11	1	1	1	1	0
1701	18	1	11	2	2	1	1	0
1701	18	1	11	3	3	1	1	0
1701	18	1	11	4	4	1	1	0
1701	18	1	11	5	5	1	1	0
1702	31	0	0	0	5	1	1	0
1702	31	0	0	1	5	1	1	0
1702	31	0	0	2	5	1	1	0
1702	31	0	0	3	5	1	1	0
1702	31	0	0	4	5	1	1	0
1702	31	0	0	5	5	1	1	0
1703	29	0	0	0	2	1	1	0
1703	29	0	0	1	4	1	1	0
1703	29	0	0	2	4	1	1	0
1703	29	0	0	3	5	1	1	0
1703	29	0	0	4	5	1	1	0
1703	29	0	0	5	5	1	1	0
1704	24	1	6	0	0	0	0	1
1704	24	1	6	1	1	0	0	1
1704	24	1	6	2	1	0	0	1
1704	24	1	6	3	2	0	0	1
1704	24	1	6	4	3	0	0	1
1704	24	1	6	5	4	0	0	1
1706	28	0	6	0	0	0	0	1
1706	28	0	6	1	0	0	0	1
1706	28	0	6	2	1	0	0	1
1706	28	0	6	3	2	0	0	1
1706	28	0	6	4	4	0	0	1
1706	28	0	6	5	5	0	0	1
